City,colors,shape,State,Time
Ithaca,,TRIANGLE,NY,1930-06-01 22:00:00
Willingboro,,OTHER,NJ,1930-06-30 20:00:00
Holyoke,,OVAL,CO,1931-02-15 14:00:00
Abilene,,DISK,KS,1931-06-01 13:00:00
New York Worlds Fair,,LIGHT,NY,1933-04-18 19:00:00
Valley City,,DISK,ND,1934-09-15 15:30:00
Crater Lake,,CIRCLE,CA,1935-06-15 00:00:00
Alma,,DISK,MI,1936-07-15 00:00:00
Eklutna,,CIGAR,AK,1936-10-15 17:00:00
Hubbard,,CYLINDER,OR,1937-06-15 00:00:00
Fontana,,LIGHT,CA,1937-08-15 21:00:00
Waterloo,,FIREBALL,AL,1939-06-01 20:00:00
Belton,RED,SPHERE,SC,1939-06-30 20:00:00
Keokuk,,OVAL,IA,1939-07-07 02:00:00
Ludington,,DISK,MI,1941-06-01 13:00:00
Forest Home,,CIRCLE,CA,1941-07-02 11:30:00
Oneida,,RECTANGLE,TN,1942-07-15 01:00:00
Bering Sea,RED,OTHER,AK,1943-04-30 23:00:00
Nebraska,,DISK,NE,1943-06-01 15:00:00
,,LIGHT,LA,1943-08-15 00:00:00
Owensboro,,RECTANGLE,KY,1943-10-15 11:00:00
Wilderness,,DISK,WV,1944-01-01 10:00:00
San Diego,,CIGAR,CA,1944-01-01 12:00:00
Wilderness,,DISK,WV,1944-01-01 12:00:00
Clovis,,DISK,NM,1944-04-02 11:00:00
Los Alamos,,DISK,NM,1944-06-01 12:00:00
Ft. Duschene,,DISK,UT,1944-06-30 10:00:00
South Kingstown,,SPHERE,RI,1944-07-01 20:00:00
North Tampa,,CYLINDER,FL,1944-07-15 13:00:00
Ft. Lee,,CIGAR,VA,1945-01-01 12:00:00
Salinas AFB,,DISK,CA,1945-06-01 12:00:00
Jasper,,FIREBALL,FL,1945-06-01 13:30:00
Winston-Salem,,DISK,NC,1945-06-07 07:00:00
Portsmouth,RED,FORMATION,VA,1945-07-10 01:30:00
Dallas,,SPHERE,TX,1945-07-15 14:00:00
